"","year_built","pricebdt_mean","sizesqft_median"
"1",1980,130000,2800
"2",1990,295000,3600
"3",1994,1375000,5500
"4",1995,281666.666666667,3460
"5",1997,1100000,15000
"6",2000,2378668.75,3460
"7",2001,624000,5200
"8",2002,273833.333333333,3000
"9",2003,115000,2517.5
"10",2004,11254025,2900
"11",2005,2613254.28571429,2800
"12",2006,311300,2750
"13",2007,3470555.55555556,2100
"14",2008,1420875,2300
"15",2009,5982461.53846154,2600
"16",2010,1469775.67567568,2500
"17",2011,313785,3000
"18",2012,324319.871794872,2800
"19",2013,8555833.33333333,2475
"20",2014,7877035.71428571,2925
"21",2015,1242690.90163934,2750
"22",2016,5121838.86792453,2900
"23",2017,4566326.66666667,3000
"24",2018,2986704.41860465,3500
"25",2019,5486394.73684211,2700
"26",2020,4423163.91304348,3387.5
"27",2021,10738372.5862069,3435
"28",2022,1211477.96052632,2932.5
"29",2023,557905.882352941,3455
"30",NA,NA,NA
